name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Honda WR-V,2015,149893,56047,Diesel,Individual,Manual,First Owner,17.56 kmpl,1913 CC,118.5 bhp,188Nm@ 1500rpm,5.0
Hyundai i20,2015,129641,90910,Petrol,Individual,Manual,First Owner,16.12 kmpl,1849 CC,101.0 bhp,172Nm@ 4000rpm,8.0
Volkswagen Vento,2005,43045,200287,Diesel,Individual,Manual,First Owner,22.69 kmpl,1151 CC,67.9 bhp,84Nm@ 1750rpm,5.0
Tata Nexon,2014,119483,91176,Petrol,Individual,Automatic,First Owner,19.79 kmpl,1408 CC,93.1 bhp,150Nm@ 2200rpm,5.0
Hyundai i10,2007,40431,191161,CNG,Individual,Manual,Second Owner,16.97 kmpl,1570 CC,94.1 bhp,135Nm@ 1500rpm,7.0
Maruti Baleno,2014,78314,124708,Diesel,Individual,Manual,Second Owner,22.63 kmpl,1475 CC,90.0 bhp,132Nm@ 4000rpm,7.0
Maruti Alto,2012,68657,143898,Petrol,Individual,Manual,First Owner,18.61 kmpl,1576 CC,96.1 bhp,133Nm@ 4000rpm,5.0
Ford Figo,2011,61454,113990,Diesel,Dealer,Manual,Fourth & Above Owner,20.3 kmpl,1519 CC,109.6 bhp,152Nm@ 1750rpm,8.0
Honda Jazz,2009,77195,179608,Diesel,Individual,Automatic,Second Owner,21.47 kmpl,1572 CC,101.5 bhp,157Nm@ 2500rpm,6.0
Hyundai i10,2017,147118,67902,Petrol,Individual,Manual,First Owner,18.96 kmpl,1616 CC,95.9 bhp,158Nm@ 2500rpm,5.0
Toyota Glanza,2017,165918,92360,Petrol,Individual,Manual,First Owner,20.27 kmpl,1487 CC,86.7 bhp,133Nm@ 2000rpm,7.0
Maruti Dzire,2018,146228,51262,Petrol,Individual,Manual,First Owner,20.31 kmpl,1664 CC,106.9 bhp,153Nm@ 1500rpm,7.0
Maruti Wagon R,2018,159974,47135,Petrol,Individual,Manual,Second Owner,22.36 kmpl,1285 CC,64.9 bhp,91Nm@ 2000rpm,5.0
Mahindra XUV300,2016,196152,46208,Petrol,Individual,Automatic,First Owner,20.86 kmpl,1444 CC,84.9 bhp,134Nm@ 3000rpm,6.0
Toyota Etios,2014,168495,108266,Petrol,Individual,Automatic,First Owner,16.65 kmpl,1614 CC,92.2 bhp,98Nm@ 2500rpm,5.0
Mahindra Scorpio,2013,97751,131387,Petrol,Individual,Manual,First Owner,20.35 kmpl,1373 CC,107.1 bhp,153Nm@ 1750rpm,7.0
Audi Q3,2011,245933,141843,Petrol,Individual,Manual,First Owner,15.56 kmpl,2137 CC,135.3 bhp,184Nm@ 1500rpm,7.0
Mahindra Bolero,2014,125819,112000,Diesel,Dealer,Manual,First Owner,19.17 kmpl,1741 CC,104.7 bhp,160Nm@ 2000rpm,7.0
Maruti Wagon R,2012,93975,137441,Petrol,Individual,Automatic,Second Owner,17.84 kmpl,1959 CC,116.5 bhp,178Nm@ 2200rpm,5.0
Honda Civic,2003,40000,233575,Petrol,Individual,Manual,First Owner,20.55 kmpl,1297 CC,93.3 bhp,134Nm@ 1750rpm,7.0
Maruti Ertiga,2011,68507,171488,Petrol,Individual,Automatic,First Owner,20.47 kmpl,1488 CC,92.5 bhp,153Nm@ 1750rpm,7.0
BMW 5 Series,2020,868553,47152,Diesel,Individual,Manual,First Owner,20.12 kmpl,2207 CC,147.3 bhp,196Nm@ 4000rpm,5.0
Hyundai Grand i10,2013,80436,108971,Petrol,Individual,Manual,First Owner,18.42 kmpl,1338 CC,93.8 bhp,121Nm@ 3000rpm,8.0
Mahindra XUV300,2018,203566,78575,Petrol,Individual,Manual,First Owner,17.4 kmpl,1661 CC,109.2 bhp,188Nm@ 1750rpm,7.0
Tata Safari,2021,245602,19861,Diesel,Individual,Manual,First Owner,22.77 kmpl,1398 CC,104.4 bhp,193Nm@ 1500rpm,5.0
Hyundai Grand i10,2004,40000,235641,Diesel,Individual,Manual,First Owner,18.99 kmpl,1850 CC,89.8 bhp,150Nm@ 2200rpm,5.0
Hyundai Creta,2015,142376,106544,Diesel,Individual,Manual,Second Owner,18.54 kmpl,1688 CC,84.5 bhp,128Nm@ 3000rpm,4.0
Ford Figo,2020,169902,63640,CNG,Individual,Manual,Fourth & Above Owner,20.34 kmpl,1429 CC,92.3 bhp,146Nm@ 4000rpm,6.0
Mahindra Thar,2020,233673,19149,Petrol,Individual,Manual,Third Owner,15.66 kmpl,1739 CC,124.9 bhp,192Nm@ 2000rpm,6.0
Toyota Corolla,2009,76914,149663,Diesel,Individual,Manual,First Owner,21.65 kmpl,1643 CC,87.5 bhp,125Nm@ 4000rpm,5.0
Maruti Dzire,2011,56048,147230,LPG,Dealer,Manual,Fourth & Above Owner,15.05 kmpl,2133 CC,111.3 bhp,162Nm@ 2500rpm,5.0
Ford Figo,2014,126967,152866,Petrol,Dealer,Automatic,First Owner,18.75 kmpl,1665 CC,107.4 bhp,129Nm@ 1750rpm,7.0
Maruti Wagon R,2016,128648,89989,Diesel,Individual,Manual,Second Owner,,1669 CC,106.1 bhp,157Nm@ 1750rpm,4.0
Toyota Corolla,2023,502250,36513,Diesel,Individual,Automatic,Second Owner,20.82 kmpl,1367 CC,77.8 bhp,108Nm@ 2200rpm,5.0
Honda WR-V,2017,160879,63189,Petrol,Individual,Manual,Second Owner,19.09 kmpl,1774 CC,109.1 bhp,155Nm@ 4000rpm,
Mahindra XUV300,2009,55321,175063,Diesel,Individual,Manual,First Owner,20.23 kmpl,1680 CC,97.9 bhp,150Nm@ 1500rpm,4.0
Renault Kwid,2018,139281,106375,Petrol,Individual,Manual,First Owner,20.31 kmpl,1341 CC,79.4 bhp,125Nm@ 4000rpm,6.0
Mercedes-Benz C-Class,2012,244309,152963,CNG,Dealer,Manual,First Owner,15.01 kmpl,2439 CC,139.7 bhp,213Nm@ 1750rpm,8.0
Ford Endeavour,2017,142096,93363,Petrol,Individual,Manual,First Owner,18.77 kmpl,1214 CC,80.6 bhp,109Nm@ 3000rpm,5.0
Hyundai Creta,2014,115736,101082,Diesel,Individual,Manual,First Owner,23.75 kmpl,1214 CC,88.2 bhp,114Nm@ 3000rpm,5.0
BMW 5 Series,2009,176646,151016,Petrol,Individual,Manual,Second Owner,13.78 kmpl,2351 CC,116.6 bhp,161Nm@ 2200rpm,7.0
Toyota Innova,2019,260934,60131,Diesel,Individual,Automatic,First Owner,25.59 kmpl,856 CC,62.3 bhp,93Nm@ 2500rpm,8.0
Toyota Etios,2010,106780,166751,Petrol,Individual,Automatic,Second Owner,17.58 kmpl,1480 CC,79.7 bhp,103Nm@ 2500rpm,4.0
Ford Aspire,2010,63418,127387,Petrol,Dealer,Manual,First Owner,18.34 kmpl,1494 CC,117.6 bhp,175Nm@ 3000rpm,8.0
Honda City,2012,90595,136801,Petrol,Individual,Manual,First Owner,18.83 kmpl,1484 CC,88.4 bhp,136Nm@ 3000rpm,4.0
BMW 3 Series,2012,324032,126070,Diesel,Individual,Manual,First Owner,15.1 kmpl,2346 CC,154.2 bhp,210Nm@ 2000rpm,5.0
Hyundai Verna,2011,95980,137466,Petrol,Individual,Automatic,First Owner,18.44 kmpl,1551 CC,106.1 bhp,169Nm@ 4000rpm,5.0
Toyota Innova,2015,156599,121265,Petrol,Individual,Manual,First Owner,17.98 kmpl,1735 CC,105.4 bhp,179Nm@ 3000rpm,8.0
Mahindra XUV300,2010,61186,148387,Petrol,Dealer,Manual,First Owner,18.53 kmpl,1499 CC,97.9 bhp,151Nm@ 2200rpm,5.0
Volkswagen Polo,2018,175929,71241,CNG,Dealer,Manual,First Owner,19.06 kmpl,1226 CC,64.3 bhp,89Nm@ 3000rpm,6.0
Ford Figo,2018,181253,76018,Petrol,Dealer,Manual,First Owner,18.64 kmpl,1911 CC,132.8 bhp,191Nm@ 2200rpm,4.0
Ford Aspire,2014,119143,113991,CNG,Individual,Automatic,Second Owner,18.65 kmpl,1583 CC,101.9 bhp,162Nm@ 4000rpm,6.0
Maruti Vitara Brezza,2015,87418,88428,Diesel,Individual,Manual,Fourth & Above Owner,23.41 kmpl,1369 CC,92.4 bhp,158Nm@ 3000rpm,6.0
Hyundai i20,2014,130452,128039,Diesel,Individual,Automatic,First Owner,22.7 kmpl,1257 CC,84.9 bhp,136Nm@ 2200rpm,
Maruti Alto,2023,244510,41066,Petrol,Individual,Manual,Second Owner,21.57 kmpl,1359 CC,92.2 bhp,148Nm@ 2000rpm,4.0
BMW X1,2011,247412,177479,Petrol,Dealer,Automatic,Second Owner,14.39 kmpl,2305 CC,126.8 bhp,228Nm@ 4000rpm,4.0
Volkswagen Polo,2011,73939,156693,Petrol,Individual,Manual,First Owner,21.2 kmpl,1095 CC,68.8 bhp,83Nm@ 2200rpm,8.0
Tata Harrier,2019,166189,79813,Petrol,Individual,Manual,First Owner,20.16 kmpl,1468 CC,84.6 bhp,135Nm@ 3000rpm,7.0
Volkswagen Vento,2009,64279,158726,Petrol,Individual,Manual,First Owner,19.74 kmpl,,103.6 bhp,154Nm@ 2500rpm,5.0
Honda Amaze,2014,102100,98278,Petrol,Individual,Manual,Second Owner,20.75 kmpl,1357 CC,94.3 bhp,137Nm@ 2200rpm,5.0
Honda Civic,2009,55907,182672,Petrol,Individual,Manual,Second Owner,16.88 kmpl,1605 CC,115.2 bhp,161Nm@ 4000rpm,
Mahindra Thar,2013,128673,132740,Diesel,Dealer,Manual,First Owner,20.87 kmpl,1849 CC,108.1 bhp,178Nm@ 2500rpm,5.0
Hyundai Creta,2020,252677,61736,Diesel,Individual,Manual,Second Owner,20.62 kmpl,1690 CC,109.1 bhp,142Nm@ 2200rpm,4.0
Mahindra XUV500,2023,334451,100,Petrol,Individual,Automatic,First Owner,21.87 kmpl,1414 CC,81.9 bhp,141Nm@ 1750rpm,6.0
Mahindra Bolero,2019,274516,29975,Petrol,Dealer,Manual,First Owner,17.82 kmpl,1862 CC,103.6 bhp,134Nm@ 2200rpm,5.0
Mahindra Thar,2011,82185,157217,Diesel,Individual,Manual,First Owner,20.52 kmpl,1799 CC,135.4 bhp,210Nm@ 2500rpm,7.0
Toyota Innova,2018,226842,80876,Diesel,Dealer,Manual,Second Owner,20.0 kmpl,1767 CC,87.0 bhp,136Nm@ 1500rpm,5.0
Hyundai Verna,2006,40186,212207,Petrol,Individual,Manual,First Owner,19.61 kmpl,1626 CC,112.5 bhp,168Nm@ 4000rpm,4.0
Toyota Glanza,2012,127258,150550,Petrol,Individual,Automatic,First Owner,20.86 kmpl,1273 CC,66.6 bhp,102Nm@ 2000rpm,8.0
Honda WR-V,2014,103417,140428,Petrol,Individual,Manual,Second Owner,18.53 kmpl,1789 CC,125.8 bhp,184Nm@ 2000rpm,7.0
Audi A6,2014,404007,143199,Diesel,Individual,Automatic,First Owner,13.47 kmpl,2531 CC,156.5 bhp,222Nm@ 3000rpm,8.0
Honda WR-V,2011,61939,126854,Petrol,Individual,Manual,Third Owner,12.74 kmpl,2196 CC,145.3 bhp,212Nm@ 1500rpm,5.0
Audi Q3,2019,701884,55453,Petrol,Individual,Manual,First Owner,11.1 kmpl,2632 CC,160.1 bhp,263Nm@ 1500rpm,6.0
BMW X1,2008,142986,173637,Petrol,Individual,Manual,First Owner,15.41 kmpl,2027 CC,133.2 bhp,208Nm@ 2000rpm,5.0
Hyundai Grand i10,2018,195172,90537,Diesel,Individual,Automatic,First Owner,21.66 kmpl,1564 CC,78.7 bhp,126Nm@ 3000rpm,6.0
Maruti Vitara Brezza,2015,109439,91640,Petrol,Individual,Automatic,First Owner,19.38 kmpl,1501 CC,79.9 bhp,112Nm@ 2200rpm,7.0
Toyota Innova,2015,146176,120054,Petrol,Individual,Manual,First Owner,21.41 kmpl,1221 CC,54.0 bhp,70Nm@ 2000rpm,5.0
Hyundai Verna,2014,96956,123744,Diesel,Individual,Manual,First Owner,21.3 kmpl,1327 CC,55.0 bhp,77Nm@ 2200rpm,7.0
Mahindra Bolero,2010,64184,169578,Petrol,Individual,Manual,Second Owner,19.84 kmpl,1394 CC,79.5 bhp,113Nm@ 1500rpm,8.0
Tata Nexon,2021,246422,26223,Petrol,Individual,Manual,First Owner,16.17 kmpl,1749 CC,102.2 bhp,128Nm@ 4000rpm,4.0
Mahindra Bolero,2019,178923,45819,Petrol,Individual,Manual,Fourth & Above Owner,16.47 kmpl,1982 CC,135.5 bhp,200Nm@ 3000rpm,4.0
Audi A6,2016,413659,101008,Petrol,Individual,Manual,Second Owner,17.4 kmpl,1853 CC,126.3 bhp,189Nm@ 2000rpm,5.0
Ford EcoSport,2010,62393,165327,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1719 CC,100.5 bhp,140Nm@ 3000rpm,5.0
Maruti Ertiga,2016,117994,78020,Petrol,Dealer,Manual,First Owner,21.85 kmpl,1347 CC,79.8 bhp,124Nm@ 1750rpm,7.0
Toyota Corolla,2010,100934,171163,Petrol,Individual,Manual,First Owner,16.96 kmpl,2168 CC,144.6 bhp,232Nm@ 2200rpm,4.0
Toyota Etios,2010,59283,155169,Petrol,Individual,Manual,First Owner,18.22 kmpl,1275 CC,93.9 bhp,149Nm@ 1750rpm,5.0
Maruti Wagon R,2016,89346,133640,Diesel,Individual,Manual,First Owner,22.13 kmpl,1350 CC,94.0 bhp,147Nm@ 4000rpm,6.0
Volkswagen Tiguan,2016,161209,90730,Petrol,Individual,Automatic,First Owner,20.09 kmpl,1183 CC,75.2 bhp,111Nm@ 1750rpm,4.0
Maruti Baleno,2021,171084,21167,Diesel,Individual,Manual,Second Owner,24.54 kmpl,997 CC,50.5 bhp,73Nm@ 1750rpm,7.0
Maruti Wagon R,2008,45062,182321,Petrol,Individual,Manual,First Owner,16.33 kmpl,1836 CC,93.6 bhp,149Nm@ 1750rpm,5.0
Toyota Innova,2022,516903,19294,Diesel,Individual,Automatic,Second Owner,19.21 kmpl,1734 CC,88.7 bhp,140Nm@ 1500rpm,6.0
Honda City,2015,124801,103255,Diesel,Individual,Manual,Second Owner,21.6 kmpl,1451 CC,,117Nm@ 1500rpm,6.0
Mahindra Scorpio,2016,138474,62306,Petrol,Dealer,Manual,Third Owner,20.06 kmpl,1491 CC,104.9 bhp,173Nm@ 2000rpm,5.0
Toyota Etios,2018,238753,74279,Petrol,Dealer,Automatic,First Owner,19.38 kmpl,1446 CC,,95Nm@ 3000rpm,4.0
Ford EcoSport,2012,86290,120275,Petrol,Individual,Manual,First Owner,19.6 kmpl,1539 CC,88.2 bhp,145Nm@ 2200rpm,4.0
Honda City,2007,51794,204991,Petrol,Individual,Manual,First Owner,20.38 kmpl,,74.5 bhp,121Nm@ 4000rpm,5.0
Hyundai i20,2018,174387,104442,Diesel,Dealer,Manual,Second Owner,19.72 kmpl,1717 CC,102.1 bhp,175Nm@ 4000rpm,7.0
Maruti Alto,2011,68515,139462,Diesel,Individual,Manual,First Owner,18.64 kmpl,1667 CC,104.8 bhp,150Nm@ 2000rpm,5.0
Toyota Etios,2016,167590,101157,Diesel,Individual,Manual,Second Owner,18.27 kmpl,1925 CC,125.0 bhp,180Nm@ 3000rpm,7.0
Toyota Fortuner,2017,171091,70248,Petrol,Individual,Manual,Second Owner,21.08 kmpl,1163 CC,79.9 bhp,131Nm@ 3000rpm,5.0
Ford Figo,2014,128424,110616,Petrol,Individual,Manual,First Owner,16.37 kmpl,1892 CC,133.0 bhp,211Nm@ 1750rpm,5.0
Hyundai Creta,2012,79049,159343,Diesel,Individual,Manual,First Owner,22.13 kmpl,1564 CC,100.6 bhp,129Nm@ 1500rpm,5.0
Ford EcoSport,2011,62597,160400,Petrol,Individual,Manual,Second Owner,16.67 kmpl,1672 CC,107.9 bhp,168Nm@ 1750rpm,5.0
Ford Figo,2017,160485,89227,Diesel,Individual,Manual,First Owner,22.34 kmpl,1531 CC,99.1 bhp,149Nm@ 3000rpm,7.0
Mahindra XUV300,2016,174223,91886,Petrol,Individual,Manual,First Owner,18.61 kmpl,1475 CC,87.2 bhp,136Nm@ 1750rpm,5.0
Tata Altroz,2013,79438,165405,Diesel,Individual,Manual,Second Owner,23.45 kmpl,1240 CC,74.0 bhp,101Nm@ 4000rpm,4.0
Volkswagen Vento,2014,162521,139317,Diesel,Individual,Automatic,Second Owner,19.57 kmpl,1849 CC,138.6 bhp,201Nm@ 2500rpm,5.0
Mahindra Bolero,2013,88438,126099,Diesel,Individual,Manual,Second Owner,23.77 kmpl,1459 CC,90.0 bhp,96Nm@ 2000rpm,5.0
Maruti Alto,2011,64155,135539,Diesel,Dealer,Manual,Second Owner,22.97 kmpl,1467 CC,101.0 bhp,146Nm@ 1750rpm,5.0
Toyota Innova,2012,122136,115115,Petrol,Individual,Automatic,First Owner,18.12 kmpl,1614 CC,97.3 bhp,166Nm@ 1750rpm,4.0
Ford Endeavour,2009,66990,169208,Petrol,Individual,Automatic,Second Owner,19.08 kmpl,1404 CC,72.9 bhp,121Nm@ 3000rpm,5.0
Volkswagen Polo,2016,164581,65452,Diesel,Individual,Automatic,Fourth & Above Owner,20.43 kmpl,1526 CC,94.8 bhp,158Nm@ 1500rpm,5.0
Hyundai Grand i10,2017,142217,98092,Diesel,Individual,Manual,First Owner,20.76 kmpl,1532 CC,105.2 bhp,173Nm@ 2500rpm,5.0
Tata Safari,2009,65726,147013,Petrol,Individual,Automatic,First Owner,21.42 kmpl,1317 CC,85.4 bhp,119Nm@ 2500rpm,8.0
Honda Amaze,2007,60630,186731,Petrol,Individual,Manual,First Owner,17.0 kmpl,1912 CC,121.5 bhp,227Nm@ 2500rpm,5.0
Honda Jazz,2014,128918,112518,Petrol,Individual,Manual,First Owner,15.19 kmpl,1787 CC,107.9 bhp,144Nm@ 2200rpm,5.0
Renault Triber,2010,54549,166202,Diesel,Individual,Manual,First Owner,22.11 kmpl,1364 CC,,153Nm@ 4000rpm,8.0
Hyundai Verna,2015,117530,113480,Petrol,Individual,Manual,First Owner,21.24 kmpl,1154 CC,57.0 bhp,89Nm@ 3000rpm,5.0
Tata Altroz,2014,82762,108708,Diesel,Dealer,Manual,Third Owner,22.56 kmpl,1436 CC,95.8 bhp,153Nm@ 4000rpm,7.0
Renault Triber,2016,90831,74902,Petrol,Individual,Manual,First Owner,19.53 kmpl,1211 CC,72.5 bhp,113Nm@ 2200rpm,8.0
Hyundai i10,2018,159483,84862,Petrol,Individual,Manual,First Owner,18.06 kmpl,1534 CC,85.8 bhp,119Nm@ 2000rpm,7.0
BMW X1,2009,209295,185398,Petrol,Individual,Automatic,First Owner,16.13 kmpl,2197 CC,138.1 bhp,230Nm@ 1500rpm,7.0
Hyundai Venue,2013,105419,122440,Diesel,Individual,Automatic,First Owner,22.05 kmpl,1372 CC,91.4 bhp,121Nm@ 2000rpm,7.0
Tata Safari,2015,105127,92855,Diesel,Individual,Manual,Second Owner,21.8 kmpl,1617 CC,85.2 bhp,134Nm@ 1500rpm,7.0
Maruti Dzire,2017,182352,81819,Diesel,Individual,Automatic,First Owner,22.09 kmpl,1121 CC,72.1 bhp,112Nm@ 1500rpm,8.0
Volkswagen Tiguan,2020,309066,39059,Petrol,Dealer,Automatic,First Owner,21.93 kmpl,1208 CC,90.1 bhp,129Nm@ 1500rpm,8.0
Honda Civic,2012,69586,146934,Petrol,Individual,Manual,First Owner,18.36 kmpl,1239 CC,82.0 bhp,119Nm@ 1750rpm,8.0
Honda City,2012,81451,152445,Petrol,Individual,Manual,Fourth & Above Owner,16.67 kmpl,1965 CC,108.2 bhp,,5.0
Mahindra Bolero,2011,63023,159342,Petrol,Individual,Manual,First Owner,16.75 kmpl,1466 CC,72.2 bhp,93Nm@ 4000rpm,7.0
Mahindra Thar,2009,60159,207242,Petrol,Dealer,Manual,First Owner,18.25 kmpl,1692 CC,105.1 bhp,154Nm@ 2200rpm,4.0
Honda City,2015,181972,103666,Diesel,Dealer,Automatic,Second Owner,18.92 kmpl,1709 CC,129.1 bhp,188Nm@ 2500rpm,5.0
Tata Tiago,2011,83788,130085,Petrol,Individual,Manual,Second Owner,17.07 kmpl,1751 CC,114.4 bhp,175Nm@ 2200rpm,4.0
Toyota Fortuner,2012,103314,139371,Petrol,Individual,Manual,Second Owner,18.27 kmpl,1648 CC,90.2 bhp,125Nm@ 3000rpm,7.0
Hyundai i20,2007,40000,195881,Diesel,Individual,Manual,Second Owner,24.04 kmpl,1175 CC,72.5 bhp,112Nm@ 4000rpm,7.0
Mercedes-Benz E-Class,2014,382667,109697,Petrol,Individual,Manual,First Owner,14.38 kmpl,2295 CC,142.3 bhp,227Nm@ 2000rpm,6.0
Hyundai i10,2016,147492,73370,Petrol,Dealer,Manual,Second Owner,21.12 kmpl,1787 CC,117.8 bhp,180Nm@ 1500rpm,8.0
Ford Endeavour,2013,82076,137631,Petrol,Individual,Manual,First Owner,19.38 kmpl,1331 CC,73.1 bhp,106Nm@ 1750rpm,5.0
Toyota Corolla,2021,363805,49173,Petrol,Trustmark Dealer,Manual,First Owner,17.59 kmpl,1570 CC,77.5 bhp,,6.0
Hyundai Creta,2014,95049,129218,CNG,Individual,Manual,First Owner,18.29 kmpl,1695 CC,108.2 bhp,169Nm@ 4000rpm,8.0
Mercedes-Benz GLA,2008,165919,173570,Petrol,Individual,Automatic,Third Owner,12.65 kmpl,2352 CC,149.6 bhp,222Nm@ 1500rpm,5.0
Toyota Fortuner,2017,205748,86232,Petrol,Individual,Manual,First Owner,17.87 kmpl,1637 CC,89.0 bhp,139Nm@ 2200rpm,6.0
Audi A4,2021,617688,75778,Petrol,Dealer,Manual,Second Owner,14.49 kmpl,1919 CC,150.1 bhp,239Nm@ 3000rpm,5.0
Ford Aspire,2016,132261,95933,Petrol,Dealer,Manual,First Owner,18.01 kmpl,1659 CC,111.7 bhp,156Nm@ 1750rpm,5.0
Hyundai Grand i10,2007,40000,169892,Diesel,Individual,Manual,Second Owner,20.35 kmpl,1488 CC,96.7 bhp,121Nm@ 4000rpm,6.0
Honda WR-V,2013,114246,150621,Diesel,Individual,Manual,First Owner,22.36 kmpl,1506 CC,98.9 bhp,129Nm@ 2500rpm,8.0
Mahindra XUV500,2016,172448,110372,Diesel,Individual,Automatic,First Owner,21.76 kmpl,1488 CC,103.0 bhp,143Nm@ 2000rpm,5.0
Volkswagen Tiguan,2024,464209,17466,Diesel,Individual,Manual,First Owner,21.68 kmpl,1476 CC,92.2 bhp,149Nm@ 2000rpm,5.0
Maruti Baleno,2015,94096,116995,Petrol,Individual,Manual,First Owner,21.42 kmpl,1207 CC,73.1 bhp,100Nm@ 1500rpm,5.0
Honda City,2010,67792,168086,Petrol,Individual,Manual,Second Owner,15.96 kmpl,1799 CC,113.8 bhp,164Nm@ 2500rpm,5.0
Honda Civic,2017,200533,64848,Diesel,Individual,Manual,Second Owner,22.53 kmpl,1529 CC,104.9 bhp,148Nm@ 1500rpm,5.0
Maruti Dzire,2012,87059,138535,Diesel,Individual,Automatic,Second Owner,19.68 kmpl,1637 CC,84.7 bhp,115Nm@ 2000rpm,4.0
Tata Altroz,2011,61501,134059,CNG,Individual,Manual,First Owner,21.98 kmpl,1221 CC,70.7 bhp,117Nm@ 2500rpm,5.0
Honda Jazz,2012,92498,123781,Petrol,Dealer,Manual,Third Owner,18.15 kmpl,1513 CC,89.1 bhp,130Nm@ 1750rpm,
Toyota Etios,2017,203162,98525,CNG,Individual,Manual,First Owner,14.91 kmpl,1705 CC,103.4 bhp,152Nm@ 1500rpm,5.0
Toyota Corolla,2011,108507,161545,Diesel,Dealer,Manual,Second Owner,19.83 kmpl,1670 CC,107.1 bhp,136Nm@ 2200rpm,4.0
Ford Endeavour,2010,70278,209188,Diesel,Individual,Automatic,First Owner,19.68 kmpl,1480 CC,82.1 bhp,132Nm@ 1500rpm,5.0
Hyundai Venue,2017,168173,92050,Petrol,Individual,Manual,First Owner,19.97 kmpl,1649 CC,114.6 bhp,140Nm@ 1500rpm,7.0
Honda Jazz,2023,504077,12451,Diesel,Individual,Automatic,First Owner,22.64 kmpl,1382 CC,94.5 bhp,124Nm@ 3000rpm,7.0
Renault Triber,2010,41452,170656,CNG,Dealer,Manual,Second Owner,22.68 kmpl,1379 CC,76.7 bhp,131Nm@ 2500rpm,4.0
Toyota Fortuner,2012,103662,137346,Petrol,Trustmark Dealer,Manual,First Owner,,1502 CC,102.9 bhp,185Nm@ 1500rpm,7.0
Ford EcoSport,2015,115811,75782,Petrol,Individual,Manual,First Owner,21.49 kmpl,1327 CC,83.8 bhp,136Nm@ 2000rpm,8.0
Hyundai Creta,2011,78011,146444,Diesel,Individual,Manual,First Owner,21.93 kmpl,1411 CC,82.7 bhp,121Nm@ 4000rpm,7.0
Honda Jazz,2021,311402,15340,Petrol,Individual,Manual,First Owner,17.29 kmpl,,98.8 bhp,153Nm@ 3000rpm,5.0
Toyota Glanza,2010,92361,139650,Petrol,Individual,Manual,First Owner,17.74 kmpl,1700 CC,106.4 bhp,134Nm@ 1750rpm,5.0
Toyota Corolla,2018,270922,86950,Diesel,Dealer,Manual,Second Owner,21.21 kmpl,1565 CC,94.8 bhp,129Nm@ 2500rpm,4.0
Hyundai i10,2017,166922,91389,Petrol,Individual,Automatic,First Owner,20.86 kmpl,1203 CC,66.5 bhp,87Nm@ 3000rpm,6.0
Maruti Baleno,2018,128909,84509,Petrol,Individual,Manual,First Owner,19.88 kmpl,1559 CC,91.6 bhp,119Nm@ 4000rpm,
Toyota Fortuner,2013,102094,127662,Diesel,Individual,Manual,First Owner,21.16 kmpl,1496 CC,94.2 bhp,135Nm@ 1750rpm,8.0
Renault Duster,2014,83192,129444,Petrol,Individual,Manual,First Owner,19.4 kmpl,1573 CC,76.1 bhp,120Nm@ 3000rpm,7.0
BMW X1,2012,283524,123779,Petrol,Individual,Manual,First Owner,11.76 kmpl,2646 CC,177.7 bhp,231Nm@ 1750rpm,7.0
BMW X1,2012,281174,127966,Diesel,Individual,Manual,Second Owner,16.09 kmpl,2341 CC,124.5 bhp,199Nm@ 1500rpm,8.0
Honda Amaze,2014,121510,120791,Petrol,Individual,Automatic,First Owner,20.41 kmpl,1336 CC,104.4 bhp,149Nm@ 2500rpm,5.0
Maruti Vitara Brezza,2008,53749,173564,Petrol,Individual,Automatic,First Owner,19.66 kmpl,1419 CC,111.5 bhp,162Nm@ 2000rpm,5.0
Ford Endeavour,2022,308017,14858,Diesel,Dealer,Manual,First Owner,21.25 kmpl,1499 CC,89.2 bhp,143Nm@ 3000rpm,5.0
Tata Tiago,2011,68402,150873,Diesel,Dealer,Manual,First Owner,24.44 kmpl,1244 CC,75.6 bhp,126Nm@ 2500rpm,6.0
BMW X1,2021,886807,41572,LPG,Individual,Automatic,First Owner,13.74 kmpl,2186 CC,158.3 bhp,212Nm@ 2000rpm,
Toyota Etios,2005,49301,221323,CNG,Individual,Automatic,Second Owner,17.49 kmpl,1859 CC,111.3 bhp,150Nm@ 2000rpm,7.0
Honda Civic,2021,318187,20027,Diesel,Individual,Manual,First Owner,19.65 kmpl,1506 CC,88.2 bhp,159Nm@ 1500rpm,8.0
Volkswagen Tiguan,2022,281212,18327,Diesel,Individual,Manual,First Owner,23.47 kmpl,1063 CC,66.3 bhp,111Nm@ 1500rpm,4.0
Hyundai Grand i10,2015,104258,102157,Diesel,Individual,Manual,Fourth & Above Owner,20.83 kmpl,1460 CC,92.4 bhp,145Nm@ 3000rpm,5.0
Audi Q3,2018,597753,47607,Petrol,Individual,Manual,Third Owner,15.28 kmpl,2071 CC,112.4 bhp,160Nm@ 1500rpm,7.0
Toyota Etios,2019,315529,50122,Petrol,Individual,Automatic,Second Owner,17.61 kmpl,1802 CC,105.6 bhp,144Nm@ 2000rpm,5.0
Hyundai Grand i10,2015,158506,87316,Petrol,Individual,Automatic,First Owner,18.25 kmpl,1517 CC,83.6 bhp,131Nm@ 1750rpm,4.0
